철도운영기관명,선명,역명,지상지하구분,역층,상세위치,소화기종류,보유대수
대구교통공사,1호선,아양교,지하,4,동구청역방향 승강장,분말소화기,5
대구교통공사,1호선,아양교,지하,4,동촌역방향 승강장,분말소화기,5
대구교통공사,1호선,안심(혁신도시.첨복단지),지하,2,지하 2층 승강장,분말소화기,6
대구교통공사,1호선,안심(혁신도시.첨복단지),지하,1,(B1) 대합실,분말소화기,9
대구교통공사,1호선,안지랑,지하,2,대명역방향 승강장,분말소화기,5
대구교통공사,1호선,안지랑,지하,2,현충로역방향 승강장,분말소화기,5
대구교통공사,1호선,안지랑,지하,1,(B1) 대합실,분말소화기,3
대구교통공사,1호선,영대병원,지하,2,현충로역방향 승강장,분말소화기,5
대구교통공사,1호선,영대병원,지하,2,교대역방향 승강장,분말소화기,5
대구교통공사,1호선,영대병원,지하,1,(B1) 대합실,분말소화기,3
대구교통공사,1호선,용계,지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,용계,지하,2,방촌역방향 승강장,분말소화기,5
대구교통공사,1호선,용계,지하,2,율하역방향 승강장,분말소화기,5
대구교통공사,1호선,월배,지하,2,진천역방향 승강장,분말소화기,5
대구교통공사,1호선,월배,지하,2,상인역방향 승강장,분말소화기,5
대구교통공사,1호선,월배,지하,1,(B1) 대합실,분말소화기,4
대구교통공사,1호선,월촌,지하,1,(B1) 대합실,분말소화기,6
대구교통공사,1호선,월촌,지하,2,송현역방향 승강장,분말소화기,5
대구교통공사,1호선,월촌,지하,2,상인역방향 승강장,분말소화기,5
대구교통공사,1호선,율하,지하,2,용계역방향 승강장,분말소화기,5
대구교통공사,1호선,율하,지하,2,신기역방향 승강장,분말소화기,5
대구교통공사,1호선,율하,지하,2,(B2) 승강장,분말소화기,10
대구교통공사,1호선,율하,지하,1,(B1) 대합실,분말소화기,7
대구교통공사,1호선,중앙로,지하,3,반월당역방향 승강장,분말소화기,6
대구교통공사,1호선,중앙로,지하,3,대구역방향 승강장,분말소화기,6
대구교통공사,1호선,중앙로,지하,1,(B1) 대합실,분말소화기,15
대구교통공사,1호선,중앙로,지하,2,(B2) 대합실,분말소화기,13
대구교통공사,1호선,진천,지하,1,(B1) 대합실,분말소화기,3
대구교통공사,1호선,진천,지하,2,대곡역방향 승강장,분말소화기,5
대구교통공사,1호선,진천,지하,2,월배역방향 승강장,분말소화기,5
대구교통공사,1호선,칠성시장,지하,1,(B1) 대합실,분말소화기,9
대구교통공사,1호선,칠성시장,지하,2,(B2) 대합실,분말소화기,11
대구교통공사,1호선,칠성시장,지하,3,대구역방향 승강장,분말소화기,5
대구교통공사,1호선,칠성시장,지하,3,신천역방향 승강장,분말소화기,5
대구교통공사,1호선,동구청(큰고개),지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,동구청(큰고개),지하,2,동대구역방향 승강장,분말소화기,5
대구교통공사,1호선,동구청(큰고개),지하,2,아양교역방향 승강장,분말소화기,5
대구교통공사,1호선,해안,지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,해안,지하,2,(B2) 대합실,분말소화기,7
대구교통공사,1호선,해안,지하,3,동촌역방향 승강장,분말소화기,5
