철도운영기관명,선명,역명,지상지하구분,역층,상세위치,소화기종류,보유대수
대구교통공사,3호선,북구청,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,서문시장(동산병원),지상,3,달성공원역방향 승강장,분말소화기,4
대구교통공사,3호선,서문시장(동산병원),지상,3,청라언덕역방향 승강장,분말소화기,4
대구교통공사,3호선,서문시장(동산병원),지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,수성구민운동장,지상,3,수성시장역방향 승강장,분말소화기,4
대구교통공사,3호선,수성구민운동장,지상,3,어린이회관역방향 승강장,분말소화기,4
대구교통공사,3호선,수성구민운동장,지상,2,(F2) 대합실,분말소화기,8
대구교통공사,3호선,수성못(TBC),지상,2,(F2) 대합실,분말소화기,4
대구교통공사,3호선,용지,지상,2,(F2) 대합실,분말소화기,7
대구교통공사,3호선,용지,지상,3,범물역방향 승강장,분말소화기,3
대구교통공사,3호선,용지,지상,3,용지역방향 종점 승강장,분말소화기,4
대구교통공사,3호선,원대,지상,3,팔달시장역방향 승강장,분말소화기,2
대구교통공사,3호선,원대,지상,3,북구청역방향 승강장,분말소화기,2
대구교통공사,3호선,원대,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,지산,지상,2,(F2) 대합실,분말소화기,8
대구교통공사,3호선,지산,지상,3,수성못역방향 승강장,분말소화기,3
대구교통공사,3호선,지산,지상,3,범물역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡경대병원,지상,3,칠곡경대병원역방향 종점 승강장,분말소화기,3
대구교통공사,3호선,칠곡경대병원,지상,3,학정역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡경대병원,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,칠곡운암,지상,3,동천역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡운암,지상,3,구암역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡운암,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,태전,지상,2,구암역방면 승강장,분말소화기,3
대구교통공사,3호선,태전,지상,2,매천역방면 승강장,분말소화기,3
대구교통공사,3호선,태전,지상,1,지상 1층,분말소화기,4
대구교통공사,3호선,팔거(국립농관원.통계청),지상,3,학정역방향 승강장,분말소화기,3
대구교통공사,3호선,팔거(국립농관원.통계청),지상,3,동천역방향 승강장,분말소화기,3
대구교통공사,3호선,팔거(국립농관원.통계청),지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,수성못(TBC),지상,3,황금역방향 승강장,분말소화기,4
대구교통공사,3호선,수성못(TBC),지상,3,지산역방향 승강장,분말소화기,4
대구교통공사,3호선,수성시장,지상,3,대봉교역방향 승강장,분말소화기,4
